Model,Method,Horizon,Strategy_Sharpe_pooled_overlap,Strategy_Sharpe_pooled_nonoverlap,Strategy_Sharpe_mean_per_stock,Strategy_Sharpe_median_per_stock,Strategy_Sharpe_std_per_stock,Strategy_MDD_pooled,Strategy_MDD_median_per_stock,Strategy_MDD_mean_per_stock,HitRate_mean_per_stock,Naive_Sharpe_pooled_overlap,Naive_Sharpe_pooled_nonoverlap,Naive_Sharpe_median_per_stock,Naive_MDD_pooled,Naive_MDD_median_per_stock,N_Test_Samples,N_Stocks_Used
GCFormer,sequential,5,0.632673483990938,0.6515115836907067,0.7765583459591193,0.6732546877108516,0.5732812879735553,0.9969356083093956,0.5413720256068982,0.5273313430708327,0.548110521616236,0.34518224144416004,0.34759428662268615,0.38887905458197364,0.9997737649244308,0.5979236359709557,188279,49
GCFormer,sequential,20,0.31179127331025097,0.3230467374842727,0.37789373499277135,0.36824507732647477,0.39968207445855886,0.9874036545791504,0.5939789449353765,0.5759223316526796,0.5416557352329088,0.3463125647463728,0.34646129453255803,0.3909187107296134,0.9997869598617193,0.5778901028575437,187544,49
GCFormer,sequential,60,0.19596741233267,0.22873205930702228,0.25249385096000804,0.2586346597778892,0.3000465585542959,0.986070222025032,0.5558189842912988,0.5759942803630629,0.5371054246781723,0.33333562395175287,0.3367555574619022,0.3881642029383557,0.9997910892900058,0.5102381351283234,185584,49
GCFormer,sequential,120,0.17653365349036648,0.17352057747279323,0.17059445351320682,0.2166985947188408,0.46383163588918075,0.9999877352776977,0.5539784022772669,0.5732637865022151,0.5374447772796049,0.31929169633357185,0.33902003361752103,0.39452955387984623,0.9997728687598909,0.4659999726652492,182644,49
GCFormer,sequential,240,0.22387342938576077,0.2696947215136529,0.28874218423083314,0.3325374387884612,0.5309480092923575,0.9979418800859764,0.5007436987559839,0.47662301362173615,0.5929933633402591,0.2803968067213669,0.334521360958789,0.36142476208792446,0.9998670187574792,0.42188747968993917,176814,48
GCFormer,global,5,0.9367685714642097,0.9596745183283186,1.2180889843185168,1.0214829017557119,0.8745952561730581,0.9947456317552505,0.4982200351732956,0.4979765727697953,0.5688293117323093,0.34518224144416004,0.34759428662268615,0.38887905458197364,0.9997737649244308,0.5979236359709557,188279,49
GCFormer,global,20,0.38551140199058104,0.3819683999378013,0.564625133801489,0.5705165168377683,0.40793491606400945,0.9990039421530055,0.49506837363991485,0.5383617158572666,0.5617625302071337,0.3463125647463728,0.34646129453255803,0.3909187107296134,0.9997869598617193,0.5778901028575437,187544,49
GCFormer,global,60,0.21599657209340598,0.19784753185328868,0.25948699859829727,0.2013846868007278,0.3167063280145104,0.9999489914283423,0.6074480020157258,0.6034749422618623,0.5589312849660525,0.33333562395175287,0.3367555574619022,0.3881642029383557,0.9997910892900058,0.5102381351283234,185584,49
GCFormer,global,120,0.164802401844941,0.14579982878301115,0.1721091437806268,0.14753278153011895,0.34197812878852374,0.9999999999695769,0.5599476493675744,0.5806261650231377,0.5525303276817933,0.31929169633357185,0.33902003361752103,0.39452955387984623,0.9997728687598909,0.4659999726652492,182644,49
GCFormer,global,240,0.11888909589253194,0.11922308474210169,0.21127409962052615,0.2180355719318104,0.3404846691536022,1.0,0.5841889027043685,0.5932384466265989,0.5718454348171854,0.2803968067213669,0.334521360958789,0.36142476208792446,0.9998670187574792,0.42188747968993917,176814,48
