Model,Method,Horizon,Strategy_Sharpe_pooled_overlap,Strategy_Sharpe_pooled_nonoverlap,Strategy_Sharpe_mean_per_stock,Strategy_Sharpe_median_per_stock,Strategy_Sharpe_std_per_stock,Strategy_MDD_pooled,Strategy_MDD_median_per_stock,Strategy_MDD_mean_per_stock,HitRate_mean_per_stock,Naive_Sharpe_pooled_overlap,Naive_Sharpe_pooled_nonoverlap,Naive_Sharpe_median_per_stock,Naive_MDD_pooled,Naive_MDD_median_per_stock,N_Test_Samples,N_Stocks_Used
iTransformer,sequential,5,0.4286905577093678,0.4299694209010266,0.5567959791820003,0.480770182812057,0.4546880069858331,0.996672618820768,0.5521044246717968,0.5751392092766346,0.5322413931836121,0.34518224144416004,0.34759428662268615,0.38887905458197364,0.9997737649244308,0.5979236359709557,188279,49
iTransformer,sequential,20,0.29956519891447164,0.3388216449447852,0.37436061112062335,0.3998569959021686,0.41283610711390706,0.9713150167433612,0.6151839568598387,0.5861277094228395,0.5411779264530006,0.3463125647463728,0.34646129453255803,0.3909187107296134,0.9997869598617193,0.5778901028575437,187544,49
iTransformer,sequential,60,0.23563679352440198,0.2570390617962006,0.27062586346952855,0.2870141621060779,0.37886452250756664,0.991608213580565,0.5711206700646012,0.5655732431073819,0.5544673720607427,0.33333562395175287,0.3367555574619022,0.3881642029383557,0.9997910892900058,0.5102381351283234,185584,49
iTransformer,sequential,120,0.27939128321174467,0.3046727840982513,0.32554452993979316,0.3417545442488027,0.49285938559287595,0.9598621760373897,0.5318595809197912,0.5035957843211071,0.5826492556437153,0.31929169633357185,0.33902003361752103,0.39452955387984623,0.9997728687598909,0.4659999726652492,182644,49
iTransformer,sequential,240,0.2493017128690468,0.2946781963323267,0.30794172440207457,0.3396060004735115,0.5043357954318162,0.9997139813748834,0.44494950777704817,0.4799075680048121,0.602457161274395,0.2803968067213669,0.334521360958789,0.36142476208792446,0.9998670187574792,0.42188747968993917,176814,48
iTransformer,global,5,0.5366243778435643,0.5461297848024509,0.6559921898323877,0.6706755104599192,0.5369303706505678,0.9976981863723429,0.5261627036428833,0.5766195827473641,0.5402379127208501,0.34518224144416004,0.34759428662268615,0.38887905458197364,0.9997737649244308,0.5979236359709557,188279,49
iTransformer,global,20,0.4923251453141223,0.4927288381178743,0.6354804250392622,0.6390869206532711,0.640241684238762,0.997610974962023,0.5070764207971581,0.5418835561980606,0.5807005966616708,0.3463125647463728,0.34646129453255803,0.3909187107296134,0.9997869598617193,0.5778901028575437,187544,49
iTransformer,global,60,0.33952288089693616,0.33431902206575287,0.4095171586413782,0.3912135625622454,0.41724296792737103,0.9994897561787582,0.5053106897238799,0.5510908660189248,0.582917958464145,0.33333562395175287,0.3367555574619022,0.3881642029383557,0.9997910892900058,0.5102381351283234,185584,49
iTransformer,global,120,0.2089026729298136,0.21807038478575017,0.2464516851780638,0.25155409074194857,0.41192035583346887,0.9999636409672377,0.5539784022772669,0.5562398528136692,0.5633165755691697,0.31929169633357185,0.33902003361752103,0.39452955387984623,0.9997728687598909,0.4659999726652492,182644,49
iTransformer,global,240,0.21296730979753425,0.22797675504299836,0.17688848469264187,0.2873538046559131,0.5601572264663681,0.9999918073445397,0.5113699020445306,0.5246516501570215,0.6088213737745518,0.2803968067213669,0.334521360958789,0.36142476208792446,0.9998670187574792,0.42188747968993917,176814,48
